descripcion,valor_usd,valor_pen,categoria,subcategoria,idioma,es_sintetico
empresa de servicios - recibo de agua,52.51,194.28,Servicios,Agua,es,True
champú / Avon,95.06,351.72,Cuidado personal,Higiene,es,True
Compra em Carrefour: café,11.44,42.29,Alimentación,Cafetería,pt,True
centro médico - equipo para ejercicio,429.38,1588.73,Salud y bienestar,Equipamiento deportivo,es,True
Dinner with Friends,148.53,549.56,Entretenimiento,Eventos,en,False
comercio local - eletrônicos,628.15,2324.23,Compras,Electrónica,pt,True
Pago de materiales para tejido en Netflix,174.47,645.55,Entretenimiento,Lectura y pasatiempos,es,True
alquiler de vivienda / servicio del hogar,471.9,1746.11,Vivienda,Alquiler,es,True
Pago de café en PedidosYa,36.42,134.74,Alimentación,Cafetería,es,True
Compra en centro médico: entrenador personal,442.26,1636.37,Salud y bienestar,Entrenamiento,es,True
Avon - cuidado de la piel,302.74,1120.15,Cuidado personal,Cuidado de la piel,es,True
internet y telefonía / empresa de servicios,198.44,734.23,Servicios,Internet y telefonía,es,True
Pagamento de hospedagem em hotel em Booking,361.69,1338.28,Viajes,Alojamiento,pt,True
xampu / Avon,37.23,137.71,Cuidado personal,Higiene,pt,True
champú / tienda de cuidado personal,69.04,255.43,Cuidado personal,Higiene,es,True
plataforma de aprendizaje / institución educativa,73.4,271.55,Educación,Plataformas de aprendizaje,es,True
compra diversa / pago diverso - SPEI,61.75,228.44,Otros,Otros,es,True
cuidados com a pele / tienda de cuidado personal,577.9,2138.28,Cuidado personal,Cuidado de la piel,pt,True
Compra en LATAM: actividad turística,254.69,942.36,Viajes,Turismo,es,True
Compra em Pão de Açúcar: fast food,79.04,292.42,Alimentación,Comida rápida,pt,True
Compra en institución educativa: libros,69.54,257.28,Educación,Libros,es,True
Pago de equipo para ejercicio en gimnasio local,195.12,721.94,Salud y bienestar,Equipamiento deportivo,es,True
Compra en Natura: jabón,97.73,361.58,Cuidado personal,Higiene,es,True
servicio no identificado / servicio general,73.66,272.53,Otros,Otros,es,True
Avon - peluquería,73.16,270.69,Cuidado personal,Peluquería,es,True
Pão de Açúcar - fast food,110.32,408.16,Alimentación,Comida rápida,en,True
Dentist Visit,216.18,799.87,Salud y bienestar,Odontología,en,False
plataforma de aprendizaje / Udemy,289.93,1072.74,Educación,Plataformas de aprendizaje,es,True
Pagamento de sabonete em Avon,56.65,209.6,Cuidado personal,Higiene,pt,True
flores / florería local,45.86,169.67,Regalos,Flores,es,True
recibo de agua / proveedor de internet - SPEI,16.25,60.1,Servicios,Agua,es,True
membresía de gimnasio / gimnasio local,66.87,247.42,Salud y bienestar,Gimnasio,es,True
Pago de libros en institución educativa,63.03,233.19,Educación,Libros,es,True
mantenimiento del hogar / servicio del hogar,158.77,587.46,Vivienda,Mantenimiento del hogar,es,True
alojamiento en hotel / hotel local,277.67,1027.41,Viajes,Alojamiento,es,True
Compra en Netflix: materiales de arte,78.92,292.02,Entretenimiento,Lectura y pasatiempos,es,True
Pago de flores en Miniso,286.71,1060.82,Regalos,Flores,es,True
Compra em Spotify: jantar com amigos,144.85,535.96,Entretenimiento,Eventos,pt,True
Netflix - videojuegos,120.3,445.1,Entretenimiento,Videojuegos,es,True
Compra en Uber: taxi o aplicativo,52.48,194.17,Transporte,Taxi y aplicativo,es,True
Soriana - carne,153.43,567.69,Alimentación,Supermercado,es,True
Compra en comercio no identificado: pago varios,115.11,425.91,Otros,Otros,es,True
Pago de joyería en Miniso - Nequi,89.68,331.81,Regalos,Joyería,es,True
Pago de recibo de agua en empresa eléctrica - Yape,34.22,126.61,Servicios,Agua,es,True
centro médico - consulta dental,263.4,974.58,Salud y bienestar,Odontología,es,True
Pago de plataforma de aprendizaje en Udemy,104.19,385.49,Educación,Plataformas de aprendizaje,es,True
pago varios / pago diverso,85.5,316.34,Otros,Otros,es,True
ropa / Mercado Libre,67.62,250.19,Compras,Ropa,es,True
Pago de combustible en Uber,197.65,731.31,Transporte,Combustible,es,True
joyería / florería local - PIX,298.47,1104.4,Regalos,Joyería,es,True
Compra en tienda de cuidado personal: pasta dental,56.26,208.14,Cuidado personal,Higiene,es,True
café / Tottus,34.25,126.69,Alimentación,Cafetería,es,True
Pagamento de cartão-presente em florería local,37.4,138.38,Regalos,Tarjeta de regalo,pt,True
Compra em Avon: xampu,86.89,321.49,Cuidado personal,Higiene,pt,True
Pago de boleto aéreo en hotel local,567.39,2099.38,Viajes,Vuelo,es,True
Compra en Líder: comida en restaurante - Mercado Pago,131.42,486.25,Alimentación,Restaurante,es,True
Compra en Mercado Libre: ropa,45.88,169.77,Compras,Ropa,es,True
Pago de juegos infantiles en tienda de regalos,296.62,1097.51,Regalos,Juguetes,es,True
Electronics,2559.27,9469.3,Compras,Electrónica,en,False
gimnasio local - consulta dental,140.93,521.44,Salud y bienestar,Odontología,es,True
Avon - xampu,53.62,198.38,Cuidado personal,Higiene,pt,True
Compra en Avon: pasta dental,61.19,226.39,Cuidado personal,Higiene,es,True
Spotify - video games,129.43,478.88,Entretenimiento,Videojuegos,en,True
materiales para tejido / Netflix,84.9,314.1,Entretenimiento,Lectura y pasatiempos,es,True
Payment for miscellaneous payment at pago diverso,14.14,52.3,Otros,Otros,en,True
flores / florería local,90.39,334.42,Regalos,Flores,es,True
Compra en Soriana: leche,33.54,124.07,Alimentación,Supermercado,es,True
PedidosYa - frutas,15.19,56.19,Alimentación,Supermercado,es,True
centro médico - consulta dental - Mercado Pago,202.09,747.73,Salud y bienestar,Odontología,es,True
recibo de agua / empresa de servicios,91.67,339.17,Servicios,Agua,es,True
Compra en institución educativa: libros,53.46,197.78,Educación,Libros,es,True
ropa / Mercado Libre,207.12,766.36,Compras,Ropa,es,True
Pagamento de cartão-presente em tienda de regalos,169.15,625.86,Regalos,Tarjeta de regalo,pt,True
carne / Oxxo,31.69,117.25,Alimentación,Supermercado,es,True
Compra en institución educativa: libros - Mercado Pago,18.47,68.3,Educación,Libros,es,True
Pago de café en Rappi,12.09,44.71,Alimentación,Cafetería,es,True
libros / Coursera,95.19,352.22,Educación,Libros,es,True
pago diverso - pago varios,137.22,507.72,Otros,Otros,es,True
Compra en Natura: pasta dental,16.02,59.25,Cuidado personal,Higiene,es,True
Compra en farmacia local: entrenador personal,136.11,503.63,Salud y bienestar,Entrenamiento,es,True
Compra en gimnasio local: clase de yoga - Yape,110.47,408.72,Salud y bienestar,Entrenamiento,es,True
Coursera - matrícula acadêmica,124.9,462.11,Educación,Matrícula,pt,True
compra de vehículo / Mercado Libre - SPEI,2048.22,7578.67,Compras,Vehículo,es,True
Pago de alojamiento en hotel en LATAM - Mercado Pago,296.7,1097.79,Viajes,Alojamiento,es,True
Compra en Cabify: transporte público,44.21,163.57,Transporte,Transporte público,es,True
alquiler de vivienda / servicio del hogar - Yape,77.73,287.62,Vivienda,Alquiler,es,True
jabón / Natura,50.68,187.49,Cuidado personal,Higiene,es,True
Compra en servicio del hogar: mantenimiento del hogar,124.17,459.41,Vivienda,Mantenimiento del hogar,es,True
tienda departamental - productos electrónicos,373.43,1381.74,Compras,Electrónica,es,True
Rappi - pollo,166.46,615.91,Alimentación,Supermercado,es,True
Compra en institución educativa: plataforma de aprendizaje,89.27,330.29,Educación,Plataformas de aprendizaje,es,True
arrendador - alquiler de vivienda,170.89,632.29,Vivienda,Alquiler,es,True
Pago de combustible en Cabify,54.89,203.08,Transporte,Combustible,es,True
Pago de peluquería en Avon,108.49,401.39,Cuidado personal,Peluquería,es,True
Pago de transporte público en estación de servicio,24.94,92.27,Transporte,Transporte público,es,True
Compra en arrendador: alquiler de vivienda,196.51,727.1,Vivienda,Alquiler,es,True
Pago de equipo para ejercicio en centro médico,318.59,1178.81,Salud y bienestar,Equipamiento deportivo,es,True
Pago de snacks en Éxito,42.28,156.41,Alimentación,Supermercado,es,True
Compra en Coursera: libros,254.17,940.42,Educación,Libros,es,True
Compra en Udemy: libros,131.57,486.81,Educación,Libros,es,True
Compra em hotel local: passagem aérea,255.69,946.04,Viajes,Vuelo,pt,True
combustível / estación de servicio,27.27,100.87,Transporte,Combustible,pt,True
Soriana - comida rápida,65.51,242.38,Alimentación,Comida rápida,es,True
clases de idiomas / institución educativa,102.58,379.52,Educación,Cursos,es,True
Compra en comercio no identificado: servicio no identificado - Mercado Pago,158.14,585.11,Otros,Otros,es,True
Pago de clases de idiomas en Udemy - Mercado Pago,153.62,568.39,Educación,Cursos,es,True
proveedor de internet - recibo de gas,122.43,452.99,Servicios,Gas domiciliario,es,True
Compra em Pão de Açúcar: carne,27.28,100.93,Alimentación,Supermercado,pt,True
proveedor de internet - recibo de gas,285.88,1057.76,Servicios,Gas domiciliario,es,True
Magazine,14.88,55.06,Entretenimiento,Revistas,en,False
Pago de combustible en Uber,68.96,255.12,Transporte,Combustible,es,True
Pago de entradas de cine en Spotify,64.76,239.59,Entretenimiento,Cine,es,True
joias / Miniso,400.33,1481.23,Regalos,Joyería,pt,True
Natura - pasta dental - Nequi,55.32,204.68,Cuidado personal,Higiene,es,True
productos electrónicos / comercio local,602.75,2230.24,Compras,Electrónica,es,True
proveedor de internet - conta de gás,154.93,573.25,Servicios,Gas domiciliario,pt,True
Avon - pasta dental,8.35,30.86,Cuidado personal,Higiene,es,True
Uber - reparación vehicular,234.32,866.98,Transporte,Mantenimiento vehicular,es,True
Pago de membresía de gimnasio en farmacia local,128.88,476.83,Salud y bienestar,Gimnasio,es,True
empresa de servicios - recibo de gas,71.12,263.12,Servicios,Gas domiciliario,es,True
Compra em Miniso: flores,69.75,258.04,Regalos,Flores,pt,True
Compra em florería local: brinquedos infantis,218.01,806.62,Regalos,Juguetes,pt,True
táxi ou aplicativo / Uber,31.15,115.23,Transporte,Taxi y aplicativo,pt,True
champú / Avon,27.06,100.11,Cuidado personal,Higiene,es,True
Compra en Coto: frutas,45.88,169.74,Alimentación,Supermercado,es,True
Pago de medicamentos en centro médico,204.29,755.88,Salud y bienestar,Farmacia,es,True
Pago de plataforma de aprendizaje en Coursera,29.0,107.26,Educación,Plataformas de aprendizaje,es,True
Pago de equipo para ejercicio en gimnasio local,380.78,1408.92,Salud y bienestar,Equipamiento deportivo,es,True
taxi o aplicativo / estación de servicio,64.22,237.61,Transporte,Taxi y aplicativo,es,True
Compra en Rappi: café,80.59,298.17,Alimentación,Cafetería,es,True
Oxxo - comida rápida - SPEI,55.49,205.29,Alimentación,Comida rápida,es,True
boleto aéreo / hotel local,377.61,1397.17,Viajes,Vuelo,es,True
Cabify - reparación vehicular - Mercado Pago,436.15,1613.78,Transporte,Mantenimiento vehicular,es,True
entradas de cine / Netflix,7.81,28.86,Entretenimiento,Cine,es,True
centro médico - membresía de gimnasio,46.61,172.44,Salud y bienestar,Gimnasio,es,True
Spotify - suscripción a revista,36.97,136.77,Entretenimiento,Revistas,es,True
Compra en Booking: alojamiento en hotel,518.35,1917.93,Viajes,Alojamiento,es,True
Booking - boleto aéreo,228.8,846.54,Viajes,Vuelo,es,True
Taxi/Uber,35.78,132.39,Transporte,Taxi y aplicativo,en,False
servicio general - pago varios,227.49,841.71,Otros,Otros,es,True
Pago de taxi o aplicativo en estación de servicio,136.62,505.5,Transporte,Taxi y aplicativo,es,True
Compra en gimnasio local: consulta dental,54.81,202.79,Salud y bienestar,Odontología,es,True
entradas de cine / Spotify,90.56,335.05,Entretenimiento,Cine,es,True
administración residencial - alquiler de vivienda,609.7,2255.97,Vivienda,Alquiler,es,True
Pago de alquiler de vivienda en servicio del hogar,706.92,2615.67,Vivienda,Alquiler,es,True
Payment for flowers at tienda de regalos,115.94,428.98,Regalos,Flores,en,True
Compra en proveedor de internet: recibo de electricidad,259.84,961.43,Servicios,Electricidad,es,True
recibo de agua / empresa de servicios,116.81,432.2,Servicios,Agua,es,True
Compra en farmacia local: membresía de gimnasio,208.68,772.12,Salud y bienestar,Gimnasio,es,True
Compra en empresa de servicios: recibo de electricidad,87.34,323.14,Servicios,Electricidad,es,True
snacks / Oxxo,71.8,265.66,Alimentación,Supermercado,es,True
joyería / Miniso - PIX,175.84,650.6,Regalos,Joyería,es,True
Pago de consulta médica en centro médico,378.64,1400.99,Salud y bienestar,Consulta médica,es,True
Compra en Tottus: comida rápida,95.46,353.19,Alimentación,Comida rápida,es,True
Compra en Rappi: frutas,43.87,162.32,Alimentación,Supermercado,es,True
Compra en tienda de regalos: flores,76.58,283.33,Regalos,Flores,es,True
Compra en centro médico: membresía de gimnasio,142.06,525.61,Salud y bienestar,Gimnasio,es,True
Yoga Class,107.29,396.97,Salud y bienestar,Entrenamiento,en,False
Pago de recibo de gas en empresa eléctrica,168.13,622.07,Servicios,Gas domiciliario,es,True
administración residencial - alquiler de vivienda,714.0,2641.88,Vivienda,Alquiler,es,True
Spotify - suscripción a revista,42.43,156.95,Entretenimiento,Revistas,es,True
Jumbo - frutas,45.59,168.66,Alimentación,Supermercado,es,True
Rent,2025.52,7494.42,Vivienda,Alquiler,en,False
Pago de pago varios en servicio general,160.51,593.86,Otros,Otros,es,True
Compra em iFood: refeição em restaurante,187.3,693.02,Alimentación,Restaurante,pt,True
Compra en institución educativa: matrícula académica,62.93,232.85,Educación,Matrícula,es,True
centro médico - consulta médica,271.48,1004.52,Salud y bienestar,Consulta médica,es,True
Pago de recibo de gas en proveedor de internet,205.02,758.56,Servicios,Gas domiciliario,es,True
matrícula académica / Coursera,150.6,557.2,Educación,Matrícula,es,True
Compra em Miniso: joias,651.89,2412.06,Regalos,Joyería,pt,True
compra de vehículo / Mercado Libre,2006.08,7422.74,Compras,Vehículo,es,True
app de delivery - café,25.75,95.26,Alimentación,Cafetería,es,True
Compra en Netflix: materiales para tejido,96.95,358.71,Entretenimiento,Lectura y pasatiempos,es,True
tienda de cuidado personal - champú - billetera digital,67.82,250.92,Cuidado personal,Higiene,es,True
servicio de streaming / cine local,153.59,568.27,Entretenimiento,Streaming,es,True
Compra em comercio local: roupas,179.31,663.44,Compras,Ropa,pt,True
verduras / Plaza Vea,19.56,72.35,Alimentación,Supermercado,es,True
mantenimiento del hogar / arrendador - Yape,204.1,755.16,Vivienda,Mantenimiento del hogar,es,True
Pago de videojuegos en Netflix,204.59,756.97,Entretenimiento,Videojuegos,es,True
Pago de verduras en Carrefour,46.77,173.03,Alimentación,Supermercado,es,True
Books,40.0,148.0,Educación,Libros,en,False
Compra en centro médico: clase de yoga - Yape,98.66,365.02,Salud y bienestar,Entrenamiento,es,True
recibo de agua / empresa de servicios,48.75,180.38,Servicios,Agua,es,True
centro médico - medicamentos,113.95,421.61,Salud y bienestar,Farmacia,es,True
farmacia local - clase de yoga,70.43,260.58,Salud y bienestar,Entrenamiento,es,True
Miniso - brinquedos infantis,162.7,601.97,Regalos,Juguetes,pt,True
Streaming Service,17.78,65.79,Entretenimiento,Streaming,en,False
arrendador - alquiler de vivienda,582.58,2155.63,Vivienda,Alquiler,es,True
Booking - alojamiento en hotel,872.49,3228.3,Viajes,Alojamiento,es,True
Compra en Cabify: combustible,110.4,408.5,Transporte,Combustible,es,True
Cabify - combustible,131.02,484.78,Transporte,Combustible,es,True
Pagamento de frutas em iFood,59.07,218.55,Alimentación,Supermercado,pt,True
Compra em institución educativa: matrícula acadêmica - PIX,100.93,373.44,Educación,Matrícula,pt,True
Compra em Natura: salão de beleza,292.48,1082.18,Cuidado personal,Peluquería,pt,True
Compra en Booking: actividad turística,253.86,939.3,Viajes,Turismo,es,True
roupas / comercio local,222.13,821.87,Compras,Ropa,pt,True
Netflix - materiales de arte,68.14,252.12,Entretenimiento,Lectura y pasatiempos,es,True
Compra en Udemy: curso profesional,282.92,1046.8,Educación,Cursos,es,True
servicio del hogar - alquiler de vivienda,393.69,1456.71,Vivienda,Alquiler,es,True
Cabify - taxi o aplicativo,41.22,152.5,Transporte,Taxi y aplicativo,es,True
Pago de libros en Coursera,52.08,192.69,Educación,Libros,es,True
champú / tienda de cuidado personal,28.69,106.14,Cuidado personal,Higiene,es,True
Pago de boleto aéreo en LATAM,192.51,712.3,Viajes,Vuelo,es,True
Pagamento de equipamento de treino em farmacia local,398.71,1475.28,Salud y bienestar,Equipamiento deportivo,pt,True
